alpha,beta,gamma,MOB_CA,STAT_CA,TOT_CA,TOT_CLASHES
45.0,-90.0,-90.0,1297.0,1387.0,2684.0,5995.0
45.0,-90.0,-45.0,734.0,784.0,1518.0,3338.0
45.0,-90.0,0.0,443.0,487.0,930.0,1993.0
45.0,-90.0,45.0,198.0,205.0,403.0,811.0
45.0,-90.0,90.0,61.0,56.0,117.0,241.0
45.0,-90.0,135.0,160.0,160.0,320.0,601.0
45.0,-90.0,180.0,1010.0,1021.0,2031.0,4400.0
45.0,-45.0,-180.0,1005.0,1069.0,2074.0,4666.0
45.0,-45.0,-135.0,1274.0,1308.0,2582.0,5809.0
45.0,-45.0,-90.0,965.0,999.0,1964.0,4242.0
45.0,-45.0,-45.0,708.0,758.0,1466.0,3325.0
45.0,-45.0,0.0,302.0,319.0,621.0,1390.0
45.0,-45.0,45.0,75.0,88.0,163.0,279.0
45.0,-45.0,90.0,37.0,41.0,78.0,149.0
45.0,-45.0,135.0,249.0,236.0,485.0,947.0
45.0,-45.0,180.0,1005.0,1069.0,2074.0,4666.0
45.0,0.0,-180.0,1001.0,1062.0,2063.0,4590.0
45.0,0.0,-135.0,777.0,809.0,1586.0,3492.0
45.0,0.0,-90.0,445.0,498.0,943.0,2126.0
45.0,0.0,-45.0,319.0,331.0,650.0,1295.0
45.0,0.0,0.0,107.0,108.0,215.0,330.0
45.0,0.0,45.0,40.0,48.0,88.0,107.0
45.0,0.0,90.0,243.0,277.0,520.0,1005.0
45.0,0.0,135.0,530.0,565.0,1095.0,2204.0
45.0,0.0,180.0,1001.0,1062.0,2063.0,4590.0
45.0,45.0,-180.0,926.0,1018.0,1944.0,4173.0
45.0,45.0,-135.0,433.0,472.0,905.0,1827.0
45.0,45.0,-90.0,120.0,117.0,237.0,458.0
45.0,45.0,-45.0,72.0,75.0,147.0,257.0
45.0,45.0,0.0,56.0,62.0,118.0,168.0
45.0,45.0,45.0,537.0,623.0,1160.0,2731.0
45.0,45.0,90.0,1008.0,1062.0,2070.0,4610.0
45.0,45.0,135.0,1022.0,1111.0,2133.0,4683.0
45.0,45.0,180.0,926.0,1018.0,1944.0,4173.0
45.0,90.0,-180.0,912.0,981.0,1893.0,3972.0
45.0,90.0,-135.0,450.0,475.0,925.0,2044.0
45.0,90.0,-90.0,119.0,122.0,241.0,367.0
45.0,90.0,-45.0,12.0,15.0,27.0,34.0
45.0,90.0,0.0,92.0,95.0,187.0,333.0
45.0,90.0,45.0,548.0,551.0,1099.0,2239.0
45.0,90.0,90.0,1195.0,1281.0,2476.0,5553.0
45.0,90.0,135.0,1333.0,1398.0,2731.0,6245.0
45.0,90.0,180.0,912.0,981.0,1893.0,3972.0
90.0,-90.0,-180.0,160.0,160.0,320.0,601.0
90.0,-90.0,-135.0,1010.0,1021.0,2031.0,4400.0
90.0,-90.0,-90.0,1393.0,1415.0,2808.0,6232.0
90.0,-90.0,-45.0,1297.0,1387.0,2684.0,5995.0
90.0,-90.0,0.0,734.0,784.0,1518.0,3338.0
90.0,-90.0,45.0,443.0,487.0,930.0,1993.0
90.0,-90.0,90.0,198.0,205.0,403.0,811.0
90.0,-90.0,135.0,61.0,56.0,117.0,241.0
90.0,-90.0,180.0,160.0,160.0,320.0,601.0
90.0,-45.0,-180.0,286.0,303.0,589.0,1251.0
90.0,-45.0,-135.0,1111.0,1202.0,2313.0,5339.0
90.0,-45.0,-90.0,1181.0,1241.0,2422.0,5384.0
90.0,-45.0,-45.0,1133.0,1145.0,2278.0,5153.0
90.0,-45.0,0.0,544.0,580.0,1124.0,2416.0
90.0,-45.0,45.0,301.0,333.0,634.0,1359.0
90.0,-45.0,90.0,94.0,115.0,209.0,442.0
90.0,-45.0,135.0,36.0,37.0,73.0,117.0
90.0,-45.0,180.0,286.0,303.0,589.0,1251.0
90.0,0.0,-180.0,220.0,261.0,481.0,1001.0
90.0,0.0,-135.0,531.0,562.0,1093.0,2373.0
90.0,0.0,-90.0,543.0,535.0,1078.0,2447.0
90.0,0.0,-45.0,585.0,610.0,1195.0,2690.0
90.0,0.0,0.0,564.0,599.0,1163.0,2486.0
90.0,0.0,45.0,236.0,265.0,501.0,936.0
90.0,0.0,90.0,90.0,103.0,193.0,304.0
90.0,0.0,135.0,62.0,63.0,125.0,182.0
90.0,0.0,180.0,220.0,261.0,481.0,1001.0
90.0,45.0,-180.0,235.0,244.0,479.0,951.0
90.0,45.0,-135.0,82.0,91.0,173.0,347.0
90.0,45.0,-90.0,70.0,90.0,160.0,304.0
90.0,45.0,-45.0,240.0,242.0,482.0,1005.0
90.0,45.0,0.0,653.0,723.0,1376.0,2999.0
90.0,45.0,45.0,1117.0,1194.0,2311.0,5197.0
90.0,45.0,90.0,851.0,901.0,1752.0,3739.0
90.0,45.0,135.0,348.0,318.0,666.0,1300.0
90.0,45.0,180.0,235.0,244.0,479.0,951.0
90.0,90.0,-180.0,450.0,475.0,925.0,2044.0
90.0,90.0,-135.0,119.0,122.0,241.0,367.0
90.0,90.0,-90.0,12.0,15.0,27.0,34.0
90.0,90.0,-45.0,92.0,95.0,187.0,333.0
90.0,90.0,0.0,548.0,551.0,1099.0,2239.0
90.0,90.0,45.0,1195.0,1281.0,2476.0,5553.0
90.0,90.0,90.0,1333.0,1398.0,2731.0,6245.0
90.0,90.0,135.0,912.0,981.0,1893.0,3972.0
90.0,90.0,180.0,450.0,475.0,925.0,2044.0
135.0,-90.0,-180.0,61.0,56.0,117.0,241.0
135.0,-90.0,-135.0,160.0,160.0,320.0,601.0
135.0,-90.0,-90.0,1010.0,1021.0,2031.0,4400.0
135.0,-90.0,-45.0,1393.0,1415.0,2808.0,6232.0
135.0,-90.0,0.0,1297.0,1387.0,2684.0,5995.0
135.0,-90.0,45.0,734.0,784.0,1518.0,3338.0
135.0,-90.0,90.0,443.0,487.0,930.0,1993.0
135.0,-90.0,135.0,198.0,205.0,403.0,811.0
135.0,-90.0,180.0,61.0,56.0,117.0,241.0
135.0,-45.0,-180.0,58.0,50.0,108.0,201.0
135.0,-45.0,-135.0,417.0,456.0,873.0,1836.0
135.0,-45.0,-90.0,1138.0,1223.0,2361.0,5351.0
135.0,-45.0,-45.0,1331.0,1424.0,2755.0,6154.0
135.0,-45.0,0.0,1329.0,1413.0,2742.0,5981.0
135.0,-45.0,45.0,621.0,629.0,1250.0,2694.0
135.0,-45.0,90.0,303.0,313.0,616.0,1199.0
135.0,-45.0,135.0,90.0,103.0,193.0,310.0
135.0,-45.0,180.0,58.0,50.0,108.0,201.0
135.0,0.0,-180.0,11.0,9.0,20.0,15.0
135.0,0.0,-135.0,245.0,303.0,548.0,1102.0
135.0,0.0,-90.0,623.0,653.0,1276.0,2866.0
135.0,0.0,-45.0,1135.0,1187.0,2322.0,5194.0
135.0,0.0,0.0,1321.0,1396.0,2717.0,6104.0
135.0,0.0,45.0,891.0,982.0,1873.0,4211.0
135.0,0.0,90.0,344.0,357.0,701.0,1403.0
135.0,0.0,135.0,226.0,222.0,448.0,908.0
135.0,0.0,180.0,11.0,9.0,20.0,15.0
135.0,45.0,-180.0,58.0,65.0,123.0,168.0
135.0,45.0,-135.0,46.0,48.0,94.0,144.0
135.0,45.0,-90.0,254.0,275.0,529.0,1075.0
135.0,45.0,-45.0,795.0,824.0,1619.0,3514.0
135.0,45.0,0.0,1229.0,1327.0,2556.0,5733.0
135.0,45.0,45.0,1113.0,1147.0,2260.0,4999.0
135.0,45.0,90.0,509.0,580.0,1089.0,2339.0
135.0,45.0,135.0,365.0,429.0,794.0,1762.0
135.0,45.0,180.0,58.0,65.0,123.0,168.0
135.0,90.0,-180.0,119.0,122.0,241.0,367.0
135.0,90.0,-135.0,12.0,15.0,27.0,34.0
135.0,90.0,-90.0,92.0,95.0,187.0,333.0
135.0,90.0,-45.0,548.0,551.0,1099.0,2239.0
135.0,90.0,0.0,1195.0,1281.0,2476.0,5553.0
135.0,90.0,45.0,1333.0,1398.0,2731.0,6245.0
135.0,90.0,90.0,912.0,981.0,1893.0,3972.0
135.0,90.0,135.0,450.0,475.0,925.0,2044.0
135.0,90.0,180.0,119.0,122.0,241.0,367.0
180.0,-90.0,-180.0,198.0,205.0,403.0,811.0
180.0,-90.0,-135.0,61.0,56.0,117.0,241.0
180.0,-90.0,-90.0,160.0,160.0,320.0,601.0
180.0,-90.0,-45.0,1010.0,1021.0,2031.0,4400.0
180.0,-90.0,0.0,1393.0,1415.0,2808.0,6232.0
180.0,-90.0,45.0,1297.0,1387.0,2684.0,5995.0
180.0,-90.0,90.0,734.0,784.0,1518.0,3338.0
180.0,-90.0,135.0,443.0,487.0,930.0,1993.0
180.0,-90.0,180.0,198.0,205.0,403.0,811.0
180.0,-45.0,-180.0,127.0,128.0,255.0,526.0
180.0,-45.0,-135.0,101.0,98.0,199.0,423.0
180.0,-45.0,-90.0,591.0,620.0,1211.0,2589.0
180.0,-45.0,-45.0,1307.0,1361.0,2668.0,6115.0
180.0,-45.0,0.0,1492.0,1560.0,3052.0,6789.0
180.0,-45.0,45.0,1295.0,1335.0,2630.0,6087.0
180.0,-45.0,90.0,687.0,753.0,1440.0,3112.0
180.0,-45.0,135.0,383.0,449.0,832.0,1821.0
180.0,-45.0,180.0,127.0,128.0,255.0,526.0
180.0,0.0,-180.0,59.0,63.0,122.0,249.0
180.0,0.0,-135.0,166.0,177.0,343.0,675.0
180.0,0.0,-90.0,801.0,856.0,1657.0,3824.0
180.0,0.0,-45.0,1364.0,1438.0,2802.0,6447.0
180.0,0.0,0.0,1420.0,1486.0,2906.0,6561.0
180.0,0.0,45.0,967.0,973.0,1940.0,4313.0
180.0,0.0,90.0,535.0,568.0,1103.0,2346.0
180.0,0.0,135.0,356.0,408.0,764.0,1544.0
180.0,0.0,180.0,59.0,63.0,122.0,249.0
180.0,45.0,-180.0,14.0,18.0,32.0,39.0
180.0,45.0,-135.0,129.0,165.0,294.0,540.0
180.0,45.0,-90.0,614.0,620.0,1234.0,2711.0
180.0,45.0,-45.0,1258.0,1321.0,2579.0,5679.0
180.0,45.0,0.0,1226.0,1279.0,2505.0,5559.0
180.0,45.0,45.0,755.0,758.0,1513.0,3335.0
180.0,45.0,90.0,475.0,498.0,973.0,2103.0
180.0,45.0,135.0,223.0,238.0,461.0,916.0
180.0,45.0,180.0,14.0,18.0,32.0,39.0
180.0,90.0,-180.0,12.0,15.0,27.0,34.0
180.0,90.0,-135.0,92.0,95.0,187.0,333.0
180.0,90.0,-90.0,548.0,551.0,1099.0,2239.0
180.0,90.0,-45.0,1195.0,1281.0,2476.0,5553.0
180.0,90.0,0.0,1333.0,1398.0,2731.0,6245.0
180.0,90.0,45.0,912.0,981.0,1893.0,3972.0
180.0,90.0,90.0,450.0,475.0,925.0,2044.0
180.0,90.0,135.0,119.0,122.0,241.0,367.0
180.0,90.0,180.0,12.0,15.0,27.0,34.0
